;;2 COLUMNAS;;;;;;;;;;;;;;;;;
SEAT;IBIZA NUEVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;JUSTO
SEAT;CORDOBA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;JUSTO
CITROEN;C3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;JUSTO
VOLKSWAGEN;GOLF R-32;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
SEAT;LEON FR;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
SEAT;ALTEA XL;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
TOYOTA;AVENSIS;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;JUSTO
VOLKSWAGEN;SCIROCCO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
FIAT;CROMA RANCHERA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
HONDA;CIVIC;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
RENAULT;SCENIC;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
SUBARU;JUSTY;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
CITROEN;C4;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
PEUGEOT;308;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
AUDI;Q5;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;JUSTO;NO;JUSTO;SI
CITROEN;C4 PICASSO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
PEUGEOT;207;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
AUDI;A4 NUEVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
HYUNDAI;SANAFE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
HYUNDAI;I10;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;JUSTO;JUSTO;SI;SI;JUSTO;SI
MERCEDES;CLASE C;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
VOLKSWAGEN;PASSAT;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
HONDA;JAZZ;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
RENAULT;CLIO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;JUSTO;SI;SI
SUBARU;IMPREZA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
FORD;TOURNEO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
HYUNDAI;I30;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
FIAT;BRAVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;JUSTO;SI;SI
HONDA;ACCORD;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
SKODA;ROOMSTER;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
HONDA;CR-V;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
MITSUBISHI;LANCER;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
PEUGEOT;407;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
MERCEDES;SMART FOR FOUR 2015;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;SI;SI;SI
